pair_name,pair_a,pair_b,Layer,NoiseStd,Percent,NumSeeds,n_valid,mean_subtraction,t_value,tfce_value,tfce_abs,t_abs,direction
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.0,40,0,,0.0,0.0,0.0,0.0,zero
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.1,40,40,0.00458860759493671,1.6264359733234477,66.75859710834027,66.75859710834027,1.6264359733234477,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.2,40,40,0.008069620253164557,1.2613387299648753,32.149025970875975,32.149025970875975,1.2613387299648753,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.3,40,40,0.019936708860759496,3.1733778910818455,140.75702984567178,140.75702984567178,3.1733778910818455,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.4,40,40,0.004588607594936708,0.4696205287101709,1.8035625789927898,1.8035625789927898,0.4696205287101709,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.5,40,40,0.0026898734177215225,0.0982844223731382,0.01824656465506423,0.01824656465506423,0.0982844223731382,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.6,40,40,-0.02151898734177216,-1.1699195960917186,-2.782025894543595,2.782025894543595,1.1699195960917186,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.7,40,40,-0.0014240506329113896,-0.0741467944318322,-0.010274797045013285,0.010274797045013285,0.0741467944318322,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.8,40,40,0.01851265822784811,2.2498399977242114,3.879408350611002,3.879408350611002,2.2498399977242114,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,0.9,40,40,0.0012658227848101283,0.1488487277674518,0.003128010115056224,0.003128010115056224,0.1488487277674518,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.1,1.0,40,30,-0.0040084388185654,-0.25590010889763126,-0.2118038000121053,0.2118038000121053,0.25590010889763126,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.0,40,10,0.0,0.0,0.0,0.0,0.0,zero
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.1,40,40,0.003955696202531646,1.6899371355078179,74.50175020757224,74.50175020757224,1.6899371355078179,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.2,40,40,0.01012658227848101,2.4948825428751444,132.3733011572223,132.3733011572223,2.4948825428751444,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.3,40,40,0.023101265822784815,3.8596906183545845,149.29248036876285,149.29248036876285,3.8596906183545845,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.4,40,40,-0.0056962025316455705,-0.2485656794997485,-0.19545494492966867,0.19545494492966867,0.2485656794997485,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.5,40,40,-0.02278481012658227,-0.9175253651440958,-1.9419557383589034,1.9419557383589034,0.9175253651440958,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.6,40,40,-0.05094936708860759,-1.576367838108686,-3.7831442477138184,3.7831442477138184,1.576367838108686,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.7,40,40,0.0066455696202531635,0.4958265768789947,0.10481769515843783,0.10481769515843783,0.4958265768789947,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.8,40,40,0.008386075949367088,0.4894004515294071,0.10165804651029944,0.10165804651029944,0.4894004515294071,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,0.9,40,40,-0.025158227848101268,-0.998785128312632,-2.234144879121882,2.234144879121882,0.998785128312632,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.2,1.0,40,30,-0.028270042194092824,-1.0805724638408938,-2.542237931747432,2.542237931747432,1.0805724638408938,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.0,40,10,0.0,0.0,0.0,0.0,0.0,zero
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.1,40,40,0.004430379746835443,2.7058897021977395,127.70861328355343,127.70861328355343,2.7058897021977395,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.2,40,40,-0.003164556962025317,-0.13797605368048996,-0.00112006914821099,0.00112006914821099,0.13797605368048996,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.3,40,40,0.020727848101265822,2.6525889812584076,134.47197340390713,134.47197340390713,2.6525889812584076,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.4,40,40,0.03734177215189873,3.723096262941979,145.48327168096034,145.48327168096034,3.723096262941979,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.5,40,40,-0.039556962025316465,-1.3887240453907257,-2.8870815021367227,2.8870815021367227,1.3887240453907257,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.6,40,40,0.008386075949367088,0.7000351780493576,0.2110340355150187,0.2110340355150187,0.7000351780493576,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.7,40,40,0.005537974683544304,0.49612735559680954,0.1049459264684026,0.1049459264684026,0.49612735559680954,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.8,40,40,-0.007436708860759492,-0.42225105489513987,-0.8908944856751598,0.8908944856751598,0.42225105489513987,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,0.9,40,40,-0.0023734177215189874,-0.5447047794019224,-1.0373173898879546,1.0373173898879546,0.5447047794019224,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.3,1.0,40,30,-0.02130801687763713,-0.7772966687747627,-1.520632490439469,1.520632490439469,0.7772966687747627,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.0,40,10,0.0,0.0,0.0,0.0,0.0,zero
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.1,40,40,0.006012658227848101,2.0534195615551107,123.97751341748793,123.97751341748793,2.0534195615551107,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.2,40,40,0.006803797468354432,0.6612656241063276,4.87449130440932,4.87449130440932,0.6612656241063276,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.3,40,40,0.018829113924050633,2.0220195323155656,124.45456550410537,124.45456550410537,2.0220195323155656,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.4,40,40,0.030696202531645574,2.4155152719522106,131.299862156187,131.299862156187,2.4155152719522106,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.5,40,40,-0.021993670886075956,-0.8601775857869229,-1.7585994717723736,1.7585994717723736,0.8601775857869229,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.6,40,40,0.020094936708860762,2.412578423288683,4.799588234475155,4.799588234475155,2.412578423288683,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.7,40,40,-0.006962025316455699,-0.4156163170769509,-0.8513204039750456,0.8513204039750456,0.4156163170769509,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.8,40,40,-0.01867088607594937,-0.9573034208351047,-9.792088267065896,9.792088267065896,0.9573034208351047,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,0.9,40,40,-0.0017405063291139234,-0.3914323190100636,-0.7154568519193355,0.7154568519193355,0.3914323190100636,negative
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.4,1.0,40,29,0.01876909646442601,1.6837102538821993,4.595036628633945,4.595036628633945,1.6837102538821993,positive
Phonemic_minus_Neologism,Phonemic,Neologism,0.0,1.5,0.0,40,10,0.0,0.0,0.0,0.0,0.0,zero
