pair_name,pair_a,pair_b,sign,region_rank,region_id_raw,size_voxels,tfce_threshold_used,tfce_sum,tfce_max,Layer,NoiseStd,Percent,idx_layer,idx_noise,idx_percent,tfce_value,tfce_abs_for_sign,t_value,mean_subtraction,n_valid
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,11.0,1.8,0.5,11,7,5,-1727.0173051121967,1727.0173051121967,-7.45811351465937,-0.0930379746835443,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,11.0,1.9,0.4,11,8,4,-1738.6420115844087,1738.6420115844087,-7.578179246013628,-0.06693037974683544,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,11.0,1.9,0.5,11,8,5,-1719.372533651678,1719.372533651678,-7.318439446278644,-0.0856012658227848,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,11.0,2.0,0.4,11,9,4,-1735.830962983784,1735.830962983784,-7.529072597707587,-0.0689873417721519,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,11.0,2.0,0.5,11,9,5,-1589.86714938147,1589.86714938147,-6.539043597902143,-0.07500000000000001,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,12.0,1.8,0.4,12,7,4,-1609.1553469079597,1609.1553469079597,-6.590202121554771,-0.05870253164556962,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,12.0,1.9,0.4,12,8,4,-1704.201853876357,1704.201853876357,-7.174455420005113,-0.0856012658227848,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,12.0,1.9,0.5,12,8,5,-1614.5432846669771,1614.5432846669771,-6.604560943374844,-0.08670886075949366,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,12.0,2.0,0.3,12,9,3,-1739.2998780828527,1739.2998780828527,-6.980436696756381,-0.0754746835443038,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,12.0,2.0,0.4,12,9,4,-1654.198836694289,1654.198836694289,-6.712375872207493,-0.09208860759493673,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,1.7,0.5,13,6,5,-1790.6706823965985,1790.6706823965985,-7.617983454874363,-0.09651898734177215,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,1.8,0.5,13,7,5,-1778.903945897951,1778.903945897951,-7.410194024455131,-0.10458860759493671,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,1.9,0.4,13,8,4,-1534.4303684484712,1534.4303684484712,-6.395263266437383,-0.07151898734177214,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,2.0,0.3,13,9,3,-1823.3207201877012,1823.3207201877012,-7.712029711353564,-0.09667721518987342,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,2.0,0.4,13,9,4,-1793.2512369607784,1793.2512369607784,-7.171053543394767,-0.08069620253164558,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,13.0,2.0,0.5,13,9,5,-1752.446012263236,1752.446012263236,-7.021090965008347,-0.06265822784810125,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,14.0,1.5,0.8,14,4,8,-1656.55504249269,1656.55504249269,-6.981586468321799,-0.08465189873417721,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,14.0,1.7,0.5,14,6,5,-1749.5089055000617,1749.5089055000617,-7.011785917273375,-0.09541139240506327,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,14.0,1.8,0.5,14,7,5,-1562.301479183824,1562.301479183824,-6.466728115421072,-0.08955696202531646,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,14.0,1.9,0.4,14,8,4,-1818.1336501942878,1818.1336501942878,-7.552121969736307,-0.08750000000000001,40
Phonemic_minus_Neologism,Phonemic,Neologism,negative,1,4,95,1520.58654165394,168080.3293210661,2174.9958454341927,14.0,1.9,0.5,14,8,5,-1582.4853465751332,1582.4853465751332,-6.519497411760042,-0.06724683544303797,40
