pair_name,pair_a,pair_b,region_rank,region_id_raw,size_voxels,tfce_sum,tfce_max,tfce_threshold_used,mean_threshold_used,Layer,NoiseStd,Percent,idx_layer,idx_noise,idx_percent,tfce_value,score_value,mean_conjunction,std_conjunction,n_valid
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.6,0.8,4,5,8,27.898249889301056,1.2828449242320785,0.022943037974683545,0.01788349838425906,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.6,0.9,4,5,9,23.452114214026796,1.2023793572918424,0.03227848101265823,0.02684450497054448,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.6,1.0,4,5,10,24.64048036678782,1.2247235469094278,0.03120907900480139,0.025481549987347796,29
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.7,0.8,4,6,8,34.60403520322827,1.4024260638856931,0.028639240506329117,0.020420212386040908,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.7,0.9,4,6,9,30.52949069738884,1.326881552240283,0.03449367088607595,0.025995043752238062,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.7,1.0,4,6,10,34.73118420321471,1.3932636263215181,0.02946311654299433,0.021145835377295093,29
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.8,0.6,4,7,6,28.479176306023476,1.29276561109879,0.03955696202531645,0.030597711541912764,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.8,0.8,4,7,8,34.58166288671774,1.390970214937151,0.032753164556962026,0.02354599202415483,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.8,0.9,4,7,9,29.361097464933604,1.3076103574816147,0.0310126582278481,0.023716048469680805,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.9,0.5,4,8,5,29.60187297326405,1.3116141538441177,0.03227848101265822,0.024608738251188804,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.9,0.6,4,8,6,41.117992568233625,1.487046742838378,0.040189873417721525,0.027025637603206545,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.9,0.8,4,8,8,43.72077674349137,1.7389686735984538,0.033860759493670886,0.019470747828327868,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.9,0.9,4,8,9,39.57899605824816,1.465135945763447,0.0379746835443038,0.02591788053399448,40
Phonemic_and_Neologism,Phonemic,Neologism,1,1,1135,92808.53673760565,165.81999133795486,23.215114246831043,0.020288083806198166,4.0,1.9,1.0,4,8,10,52.96454350820082,1.6467868755419957,0.03601047577477084,0.02186611365605155,29
