Layer,NoiseStd,Percent,NumSeeds,Phonemic_minus_Neologism_mean,Phonemic_minus_Neologism_t,Phonemic_minus_Neologism_tfce,Phonemic_minus_Neologism_n_valid,Semantic_minus_Neologism_mean,Semantic_minus_Neologism_t,Semantic_minus_Neologism_tfce,Semantic_minus_Neologism_n_valid
0.0,1.1,0.0,40,,0.0,0.0,0,,0.0,0.0,0
0.0,1.1,0.1,40,0.00458860759493671,1.6264359733234477,66.75859710834027,40,0.002215189873417722,3.3429685305864365,334.8869408218781,40
0.0,1.1,0.2,40,0.008069620253164557,1.2613387299648753,32.149025970875975,40,0.0009493670886075946,0.5059817244431459,1.985606227425865,40
0.0,1.1,0.3,40,0.019936708860759496,3.1733778910818455,140.75702984567178,40,0.0012658227848101268,0.751809411556112,2.09030268490635,40
0.0,1.1,0.4,40,0.004588607594936708,0.4696205287101709,1.8035625789927898,40,-0.011708860759493669,-1.1415521215640339,-23.357674991975568,40
0.0,1.1,0.5,40,0.0026898734177215225,0.0982844223731382,0.01824656465506423,40,-0.037658227848101265,-1.3760261386331436,-40.460627390375144,40
0.0,1.1,0.6,40,-0.02151898734177216,-1.1699195960917186,-2.782025894543595,40,-0.037500000000000006,-1.6820316091209442,-72.80631443277517,40
0.0,1.1,0.7,40,-0.0014240506329113896,-0.0741467944318322,-0.010274797045013285,40,-0.025632911392405054,-1.258885389574004,-31.120319730209015,40
0.0,1.1,0.8,40,0.01851265822784811,2.2498399977242114,3.879408350611002,40,-0.008069620253164557,-1.3685704583357985,-39.821732396876754,40
0.0,1.1,0.9,40,0.0012658227848101283,0.1488487277674518,0.003128010115056224,40,-0.019462025316455696,-2.2434488911141885,-120.13618111946141,40
0.0,1.1,1.0,40,-0.0040084388185654,-0.25590010889763126,-0.2118038000121053,30,-0.017510548523206753,-1.2480436660061107,-30.34067115493035,30
0.0,1.2,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,1.2,0.1,40,0.003955696202531646,1.6899371355078179,74.50175020757224,40,0.002531645569620253,3.1224989991991987,332.5699840053156,40
0.0,1.2,0.2,40,0.01012658227848101,2.4948825428751444,132.3733011572223,40,0.0037974683544303805,2.882306768491569,329.48219119022457,40
0.0,1.2,0.3,40,0.023101265822784815,3.8596906183545845,149.29248036876285,40,-0.00047468354430379756,-0.14723691926505292,-0.06244918407383728,40
0.0,1.2,0.4,40,-0.0056962025316455705,-0.2485656794997485,-0.19545494492966867,40,-0.028797468354430374,-1.2096335838146504,-27.683668460697756,40
0.0,1.2,0.5,40,-0.02278481012658227,-0.9175253651440958,-1.9419557383589034,40,-0.055221518987341775,-2.052486878884811,-106.54367272850187,40
0.0,1.2,0.6,40,-0.05094936708860759,-1.576367838108686,-3.7831442477138184,40,-0.08370253164556962,-2.301216683808813,-108.76534844295693,40
0.0,1.2,0.7,40,0.0066455696202531635,0.4958265768789947,0.10481769515843783,40,-0.019936708860759496,-1.466540579319108,-48.75885622208863,40
0.0,1.2,0.8,40,0.008386075949367088,0.4894004515294071,0.10165804651029944,40,-0.021518987341772152,-1.4492919859466755,-47.0997625295976,40
0.0,1.2,0.9,40,-0.025158227848101268,-0.998785128312632,-2.234144879121882,40,-0.041455696202531644,-1.6460991917743348,-68.35731369661988,40
0.0,1.2,1.0,40,-0.028270042194092824,-1.0805724638408938,-2.542237931747432,30,-0.04852320675105485,-1.6943445777164028,-74.37109876736496,30
0.0,1.3,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,1.3,0.1,40,0.004430379746835443,2.7058897021977395,127.70861328355343,40,0.0023734177215189874,2.563792836378394,233.91725474506504,40
0.0,1.3,0.2,40,-0.003164556962025317,-0.13797605368048996,-0.00112006914821099,40,-0.02088607594936709,-0.8994626558041331,-11.590726573954488,40
0.0,1.3,0.3,40,0.020727848101265822,2.6525889812584076,134.47197340390713,40,-0.00806962025316456,-1.5830243385601273,-12.680656421704604,40
0.0,1.3,0.4,40,0.03734177215189873,3.723096262941979,145.48327168096034,40,-0.0011075949367088602,-0.22966255022367532,-0.21279844585740015,40
0.0,1.3,0.5,40,-0.039556962025316465,-1.3887240453907257,-2.8870815021367227,40,-0.07025316455696204,-2.251878984102714,-107.47210639470838,40
0.0,1.3,0.6,40,0.008386075949367088,0.7000351780493576,0.2110340355150187,40,-0.019936708860759496,-1.6343399082992518,-66.93554648909979,40
0.0,1.3,0.7,40,0.005537974683544304,0.49612735559680954,0.1049459264684026,40,-0.01629746835443038,-1.4982831676548085,-51.90968306753439,40
0.0,1.3,0.8,40,-0.007436708860759492,-0.42225105489513987,-0.8908944856751598,40,-0.030537974683544307,-1.6918695831549277,-74.05533574286675,40
0.0,1.3,0.9,40,-0.0023734177215189874,-0.5447047794019224,-1.0373173898879546,40,-0.009651898734177216,-1.99891900630199,-118.1513427611336,40
0.0,1.3,1.0,40,-0.02130801687763713,-0.7772966687747627,-1.520632490439469,30,-0.03966244725738397,-1.4121100027183187,-43.64951461650029,30
0.0,1.4,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,1.4,0.1,40,0.006012658227848101,2.0534195615551107,123.97751341748793,40,0.003955696202531647,3.5130858446526383,245.6646082154607,40
0.0,1.4,0.2,40,0.006803797468354432,0.6612656241063276,4.87449130440932,40,-0.01582278481012658,-1.399225258956257,-42.49352672762294,40
