pair_name,pair_a,pair_b,sign,region_rank,size_voxels,tfce_sum,tfce_max,n_valid_mean,n_valid_min,point_type,Layer,NoiseStd,Percent,score_value,idx_layer,idx_noise,idx_percent
Phonemic_minus_Neologism,Phonemic,Neologism,negative,5,3,4601.084262262564,1536.7153388178444,40.0,40,centroid,11.0,1.5,0.8,1530.4125476794966,11,4,8
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,peak,30.0,1.8,0.4,99952.1621603409,30,7,4
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,centroid,29.0,1.6,0.6,75151.43687048063,29,5,6
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,30.0,1.7,0.5,76720.68979446942,30,6,5
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,30.0,1.6,0.7,76654.76939264081,30,5,7
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,27.0,1.4,0.8,73631.1592968318,27,3,8
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,27.0,1.8,0.4,73282.43720237794,27,7,4
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,29.0,1.4,0.9,73180.92825698754,29,3,9
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,31.0,1.6,0.6,72004.46426278769,31,5,6
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,29.0,1.5,0.7,71370.80077362702,29,4,7
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,29.0,1.8,0.5,69543.84295143395,29,7,5
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,28.0,1.4,1.0,68025.99837036146,28,3,10
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,31.0,1.9,0.4,67811.25601149553,31,8,4
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,26.0,1.4,0.9,67019.23954584028,26,3,9
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,26.0,2.0,0.3,66886.08852367097,26,9,3
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,30.0,1.5,0.6,64912.16148201538,30,4,6
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,32.0,1.8,0.5,64605.00353523852,32,7,5
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,30.0,2.0,0.3,64178.49869422253,30,9,3
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,31.0,1.5,0.8,63550.27712770055,31,4,8
