pair_name,pair_a,pair_b,Layer,NoiseStd,Percent,NumSeeds,n_valid,mean_conjunction,std_conjunction,score_value,tfce_value
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.0,40,0,,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.1,40,40,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.2,40,40,0.0022151898734177216,0.008177133795766995,0.27086740431714446,0.514513750492123
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.3,40,40,0.003006329113924051,0.010628148034299862,0.2828382015400237,0.5631592366114305
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.4,40,40,0.004905063291139241,0.012286617660914467,0.39918749317385555,0.7293113264535673
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.5,40,40,0.008227848101265822,0.02604438710887926,0.3159042354360257,0.7185882762515861
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.6,40,40,0.01028481012658228,0.030053680624485074,0.342203274594221,0.8652716931751478
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.7,40,40,0.006645569620253165,0.019544461036679582,0.34000577462879467,0.8522416661579343
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.8,40,40,0.00949367088607595,0.03665341815914063,0.2590048175054303,0.4701225488684829
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,0.9,40,40,0.010443037974683544,0.029843187164146825,0.34991865977939046,0.9124513664496556
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.1,1.0,40,30,0.0018987341772151898,0.004745016383594655,0.40006903132034277,1.2658410274075986
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.1,40,40,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.2,40,40,0.0004746835443037975,0.0022146102083879294,0.2142450610250508,0.334476319106603
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.3,40,40,0.004113924050632912,0.020042621153993943,0.20524854361524192,0.3126986644267398
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.4,40,40,0.007436708860759492,0.025674500743229366,0.2896422132183947,0.5925175892026053
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.5,40,40,0.014556962025316455,0.035171912410481905,0.41386854336743306,1.378264575999745
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.6,40,40,0.02199367088607595,0.051477607992871294,0.4272390366328788,1.4903265408121475
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.7,40,40,0.008860759493670886,0.026225171202488927,0.33785943915557065,0.8396607979115964
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.8,40,40,0.00680379746835443,0.014360363288291426,0.47375707527024613,1.1875733410344482
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,0.9,40,40,0.006645569620253165,0.017136324881917648,0.38778337144469965,1.1715310914429324
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.2,1.0,40,30,0.009915611814345993,0.024522881608952544,0.40432473017347537,1.299744454249692
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.1,40,40,0.00015822784810126583,0.001000720778534297,0.15795604073700306,0.22594803569122748
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.2,40,40,0.0037974683544303805,0.013881200478948405,0.27354945350263693,0.5250523470853042
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.3,40,40,0.008386075949367088,0.023480468056789265,0.3571359307299527,0.728981295890352
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.4,40,40,0.005854430379746835,0.023524170980568238,0.248858143670139,0.43501372511841346
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.5,40,40,0.013449367088607594,0.033740690820839,0.3985978995546131,1.254266308954873
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.6,40,40,0.00791139240506329,0.022605137448834214,0.34996657093541983,0.9127491925147904
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.7,40,40,0.005854430379746835,0.0188727201335847,0.31018953011437383,0.6894455977423857
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.8,40,40,0.006329113924050634,0.02086861071818048,0.30326938099219314,0.6553876770242429
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,0.9,40,40,0.003164556962025317,0.012494889032729741,0.2532478444500092,0.44989841862234176
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.3,1.0,40,30,0.006329113924050634,0.01924027659583954,0.3289342000010098,0.7886894239760721
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.4,0.0,40,10,0.0,0.0,0.0,0.0
