pair_name,pair_a,pair_b,region_id_raw,num_seeds_total,size_voxels,tfce_threshold_used,mean_threshold_used,tfce_sum,tfce_mean,tfce_max,score_mean,score_max,mean_conjunction_mean,mean_conjunction_max,std_conjunction_mean,n_valid_mean,n_valid_min,n_valid_max,peak_n_valid,peak_layer,peak_noise,peak_percent,peak_tfce,peak_score,peak_mean_conjunction,centroid_layer,centroid_noise,centroid_percent,region_rank
Phonemic_and_Neologism,Phonemic,Neologism,1,40,1135,23.215114246831043,0.020288083806198166,92808.53673760565,81.76963589216358,165.81999133795486,2.031635435306338,3.8782125761913844,0.055595394664845595,0.14224683544303798,0.027419635108415105,38.57444933920705,29,40,40,32.0,2.0,0.3,165.81999133795486,3.7611208535169895,0.07499999999999998,21.0,1.6,0.7,1
Semantic_and_Neologism,Semantic,Neologism,3,40,1019,1.5190647045691692,0.002056962025316456,24499.23502241208,24.042428873809694,85.98563859464149,1.3410070036308555,4.000617660705619,0.014692102885543729,0.04746835443037976,0.01006060841754769,38.903827281648674,29,40,40,27.0,1.7,0.4,85.98563859464149,3.870131157475844,0.032436708860759486,27.0,1.5,0.6,1
Semantic_and_Neologism,Semantic,Neologism,1,40,7,1.5190647045691692,0.002056962025316456,11.863235917092362,1.6947479881560519,1.7693857554196502,0.5294311076941954,0.6434867030839375,0.0028933092224231465,0.00548523206751055,0.0054151456827314925,30.0,30,30,30,8.0,1.3,1.0,1.7693857554196502,0.6434867030839375,0.0025316455696202536,8.0,1.2,1.0,2
Semantic_and_Neologism,Semantic,Neologism,4,40,6,1.5190647045691692,0.002056962025316456,9.422462250510304,1.5704103750850507,1.6070500900122728,0.5842464354998667,0.6747780033354355,0.0028217299578059073,0.0034810126582278493,0.004805059260240954,40.0,40,40,40,9.0,1.4,0.7,1.6070500900122728,0.6747780033354355,0.0034810126582278493,9.0,1.4,0.6,3
Semantic_and_Neologism,Semantic,Neologism,2,40,4,1.5190647045691692,0.002056962025316456,6.308572671314709,1.5771431678286771,1.635981198559152,0.5978361111105654,0.7334193147399932,0.0024129746835443045,0.0033227848101265835,0.00399642658835414,40.0,40,40,40,8.0,1.7,0.5,1.635981198559152,0.7334193147399932,0.0033227848101265835,8.0,1.7,0.5,4
Semantic_and_Neologism,Semantic,Neologism,5,40,3,1.5190647045691692,0.002056962025316456,5.313336514683708,1.771112171561236,1.7748901094367815,0.5627947485139971,0.5747225281175814,0.0031645569620253173,0.0034810126582278484,0.005635778910258047,40.0,40,40,40,10.0,2.0,0.2,1.7748901094367815,0.5747225281175814,0.0028481012658227852,9.0,2.0,0.2,5
